ID,Question.420..How.many.people.over.15.years.of.age.live.in.your.home.,Question.430..And.how.many.of.these.are.typically.in.the.house.during.the.day..for.example.for.5.6.hours.during.the.day.,Question.43111..How.many.people.under.15.years.of.age.live.in.your.home.,Question.4312..And.how.many.of.these.are.typically.in.the.house.during.the.day..for.exanmple.for.5.6.hours.during.the.day.,Question.460..How.many.bedrooms.are.there.in.your.home,Question.49002..Washing.machine,Question.49002..Tumble.dryer,Question.49002..Dishwasher,Question.49002..Electric.shower..instant.,Question.49002..Electric.shower..electric.pumped.from.hot.tank.,Question.49002..Electric.cooker,Question.49002..Electric.heater..plug.in.convector.heaters.,Question.49002..Stand.alone.freezer,Question.49002..A.water.pump.or.electric.well.pump.or.pressurised.water.system,Question.49002..Immersion
1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1
2,2,0,1,0,4,1,1,1,1,1,1,0,1,0,0
3,4,0,0,0,4,1,1,1,1,0,1,0,1,0,1
4,2,0,0,0,3,1,1,0,1,0,1,1,1,0,1
5,0,0,0,0,3,1,0,1,0,1,1,0,0,0,1
6,2,2,0,0,3,1,0,1,1,0,0,0,0,0,0
7,6,6,6,6,4,1,1,1,0,3,1,0,0,0,1
0,2,2,0,0,5,1,1,1,1,0,1,0,2,0,0
9,1,1,2,2,4,1,1,1,1,1,1,0,1,0,1
10,2,2,0,0,3,1,0,1,1,0,1,0,1,0,1
11,0,0,0,0,4,1,1,1,0,1,1,0,0,1,1
12,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
13,2,2,1,1,3,1,1,0,0,0,1,1,0,0,1
14,2,2,0,0,4,1,0,1,2,0,0,2,0,1,1
15,2,1,2,0,5,1,1,1,1,1,1,1,1,1,1
16,0,0,0,0,3,1,1,1,1,0,1,0,0,0,1
17,2,1,2,1,3,1,0,0,0,0,1,0,0,0,1
10,2,1,0,0,4,1,1,1,0,0,1,2,0,0,1
19,2,2,4,4,3,1,0,1,1,0,1,0,1,0,1
20,2,1,2,0,3,1,1,0,1,0,0,0,0,0,0
21,2,2,0,0,3,1,1,1,0,0,1,0,1,1,0
22,2,1,0,0,3,1,1,0,1,0,1,1,1,1,1
23,1,1,2,2,2,1,0,0,0,0,1,0,1,0,1
24,2,0,0,0,4,1,1,1,0,0,1,0,0,1,0
25,2,1,2,1,5,2,1,1,1,2,1,0,2,0,1
26,0,0,0,0,5,1,1,1,1,0,0,0,1,0,1
27,2,2,0,0,4,1,1,1,0,1,1,1,1,0,1
20,2,2,0,0,3,1,1,0,1,0,0,1,1,0,0
29,4,2,0,0,3,1,0,0,0,0,1,0,1,0,1
30,2,2,0,0,5,1,1,1,1,0,0,0,1,1,0
31,1,2,1,1,2,1,1,1,0,1,1,0,1,1,1
32,3,2,0,0,3,1,1,0,1,1,1,0,1,0,1
33,2,2,0,0,4,1,1,1,1,0,1,0,0,0,0
34,2,1,0,0,3,1,1,0,0,0,1,1,0,0,1
35,3,3,0,0,4,1,1,1,2,0,1,0,1,0,1
36,2,2,0,0,2,1,0,0,1,0,1,0,0,0,1
37,2,1,0,0,3,1,0,0,0,0,1,0,0,0,0
30,2,2,0,0,3,1,1,1,1,0,1,0,1,0,1
